21300	9246	12240	613	200	20795	1926	21431	554	16938	13211	10391	10669	12193	11631	9518	584																
14517	10685	19819	12420	7668	2806	7945	7643	6511	857	9648	18662																					
4586	2130	19978	14363	20892	12692	9284	18045	16161	19604	18189	14635	20816																				
21356	4119	835	6785	12420	4846	19169	10758	21945	7366	4127	13714	2030	6232	832	14806																	
23984	21199	21898	17636	3922	6481	12444	2610	21183	12590	21338	12880	583	18513	8878	9194																	
24971	25620	16909	790	10845	9727	12654	25178	24190	21308	7832	19261	16507	11025	12437																		
21961	21174	21528	8203	2823	24528	24530	24758	20200	16724	6082	273	5033	17814	10605	6434	16257	21039															
15369	545																															
20303	15350	22653	1646	14694	24234	25233	25123	16199	12444	2610	16280	23191	14744	22605	22181	4915	24992	23835	25199	21308	8878											
11637	16252	15647	19919	23994	3708	10321	10845	22416	3890	23785	25504	18869	22562	12654	24190	21521	7832	16507	12437													
18876	7988	6562	7814	15501	24596	2019	7764	18216	666	24103	15340																					
22606	4152	24802	20982	13500	23975	25763	5391	11373	3708	10508	19786	23785	8863	425																		
9138	23342	4628	25148	6626	12960	9456	7501	3074	6829	753																						
22845	21412	13583	6481	6483	12444	2610	25706	12154	10758	19744	1681	15129	337	1569	19406	14806	583	19637	8878	9194	601	20614										
21356	4119	835	19106	19169	21452	13714	6232	832	25506	17056	3761																					
358	15803	7988	5749	12039	2707	7764	18216	666	1287	24103																						
20830	8880	22243	7813	22257	6481	12444	2610	7741	9921	22561	16829	3313	22355	10625	15324	17475	583	8878	9194													
19646	1676	16767	6640	3979	17497	12444	2610	13219	4130	8458	4696	14599	25779	2500	6242	6188	13600	3079	848	14597	2099	20327	583	24835	8878	4684						
10149	2508	22136	19853	2562	18678	501	5845																									
7988	19960	6562	7814	22000	17938	7764	18216	666	18817	24103																						
2599	835	7725	17752	2823	4333	4558	20200	16724	6082	7996	21452	19602	17845	13714	832	17056	21807															
20183	14795	12444	2610	10845	25779	20473	16799	12654	24190	583	21308	8878	15302	7832	19261	16507																
